entry_id,chart_date,chart_position,track_id,artist_id,track_name,artist_name,region_id,country_name,streams
18343253,2021-12-07,149,69461,27801,Kevin McCallister,"D-Block Europe, Lil Pino",66,United Kingdom,"63,088"
18343254,2021-12-07,150,98210,177,Cry Your Heart Out,Adele,66,United Kingdom,"62,894"
18343255,2021-12-07,151,95516,37191,Los Pollos Hermanos,Knucks,66,United Kingdom,"62,795"
18343256,2021-12-07,152,249,177,Water Under the Bridge,Adele,66,United Kingdom,"62,777"
18343257,2021-12-07,153,30096,14047,"Baby, It's Cold Outside",Dean Martin,66,United Kingdom,"62,615"
18343258,2021-12-07,154,64643,3702,Holiday,KSI,66,United Kingdom,"62,353"
18343259,2021-12-07,155,30958,14426,Stay Another Day,East 17,66,United Kingdom,"62,346"
18343260,2021-12-07,156,1501,100,Yellow,Coldplay,66,United Kingdom,"62,078"
18343261,2021-12-07,157,64709,4887,favorite crime,Olivia Rodrigo,66,United Kingdom,"61,506"
18343262,2021-12-07,158,33434,85,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,66,United Kingdom,"61,443"
18343263,2021-12-07,159,95510,15941,Spit Of You,Sam Fender,66,United Kingdom,"61,192"
18343264,2021-12-07,160,65259,3580,Get Into It (Yuh),Doja Cat,66,United Kingdom,"61,102"
18343265,2021-12-07,161,98359,10793,Funny Bunny Nails,D-Block Europe,66,United Kingdom,"61,077"
18343266,2021-12-07,162,66299,26386,Latest Trends,A1 x J1,66,United Kingdom,"61,073"
18343267,2021-12-07,163,495,372,Take Me To Church,Hozier,66,United Kingdom,"60,977"
18343268,2021-12-07,164,64815,25693,Calling My Phone,"Lil Tjay, 6LACK",66,United Kingdom,"60,889"
18343269,2021-12-07,165,330,238,Wonderwall - Remastered,Oasis,66,United Kingdom,"60,825"
18343270,2021-12-07,166,92965,36150,I Love You So,The Walters,66,United Kingdom,"60,796"
18343271,2021-12-07,167,72207,28845,UFO,"D-Block Europe, Aitch",66,United Kingdom,"60,098"
18343272,2021-12-07,168,44215,18969,A Spaceman Came Travelling,Chris de Burgh,66,United Kingdom,"60,096"
18343273,2021-12-07,169,64785,3700,WITHOUT YOU,The Kid LAROI,66,United Kingdom,"59,927"
18343274,2021-12-07,170,64728,25647,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",66,United Kingdom,"59,835"
18343275,2021-12-07,171,30000,14049,Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri Rene & His Orchestra",66,United Kingdom,"59,567"
18343276,2021-12-07,172,98217,37966,abcdefu (angrier),GAYLE,66,United Kingdom,"59,400"
18343277,2021-12-07,173,6312,3675,Lucid Dreams,Juice WRLD,66,United Kingdom,"59,353"
18343278,2021-12-07,174,36140,1811,Little Bit of Love,Tom Grennan,66,United Kingdom,"59,053"
18343279,2021-12-07,175,8224,168,Save Your Tears,The Weeknd,66,United Kingdom,"58,869"
18343280,2021-12-07,176,46682,10793,Darling,D-Block Europe,66,United Kingdom,"58,808"
18343281,2021-12-07,177,92944,141,Way 2 Sexy (with Future & Young Thug),Drake,66,United Kingdom,"58,542"
18343282,2021-12-07,178,30007,6200,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,66,United Kingdom,"58,518"
18343283,2021-12-07,179,31113,4887,"jealousy, jealousy",Olivia Rodrigo,66,United Kingdom,"58,500"
18343284,2021-12-07,180,48142,344,Thank God It's Christmas - Non-Album Single,Queen,66,United Kingdom,"58,455"
18343285,2021-12-07,181,30066,7287,Blue Christmas,Elvis Presley,66,United Kingdom,"58,357"
18343286,2021-12-07,182,7646,201,The Real Slim Shady,Eminem,66,United Kingdom,"58,187"
18343287,2021-12-07,183,30185,342,I Saw Mommy Kissing Santa Claus,The Jackson 5,66,United Kingdom,"58,029"
18343288,2021-12-07,184,6319,1884,Watermelon Sugar,Harry Styles,66,United Kingdom,"57,834"
18343289,2021-12-07,185,98460,8664,Little Saint Nick - 1991 Remix,The Beach Boys,66,United Kingdom,"57,701"
18343290,2021-12-07,186,33427,15347,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",66,United Kingdom,"57,531"
18343291,2021-12-07,187,64829,2001,Good Days,SZA,66,United Kingdom,"57,407"
18343292,2021-12-07,188,30225,14151,Sleigh Ride,Ella Fitzgerald,66,United Kingdom,"57,322"
18343293,2021-12-07,189,98354,177,Love Is A Game,Adele,66,United Kingdom,"57,217"
18343294,2021-12-07,190,98353,177,All Night Parking (with Erroll Garner) Interlude,Adele,66,United Kingdom,"57,142"
18343295,2021-12-07,191,64807,25691,Oliver Twist,ArrDee,66,United Kingdom,"57,092"
18343296,2021-12-07,192,64783,25684,BED,"Joel Corry, RAYE, David Guetta",66,United Kingdom,"57,043"
18343297,2021-12-07,193,64788,10698,The Business,Tiësto,66,United Kingdom,"56,802"
18343298,2021-12-07,194,64827,25695,Freaks,Surf Curse,66,United Kingdom,"56,701"
18343299,2021-12-07,195,64818,3580,Streets,Doja Cat,66,United Kingdom,"56,620"
18343300,2021-12-07,196,98207,361,Smells Like Teen Spirit - Remastered,Nirvana,66,United Kingdom,"56,595"
18343301,2021-12-07,197,36138,16282,You Right,"Doja Cat, The Weeknd",66,United Kingdom,"56,404"
18343302,2021-12-07,198,92736,198,Visiting Hours,Ed Sheeran,66,United Kingdom,"56,365"
18343303,2021-12-07,199,6276,2392,Before You Go,Lewis Capaldi,66,United Kingdom,"56,266"
18343304,2021-12-07,200,29940,8069,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,66,United Kingdom,"56,240"
